Partido_Politico,Texto
CREO,"Votamos por el cambio, votamos por un mejor Ecuador   #capacidadparacambiar #la21enel21 #Lassopresidente https://t.co/MyLacqBIqq"
CREO,"Vota por el cambio y por un mejor futuro para el Ecuador.  SALUD, EMPLEO Y EDUCACIÓN   #EcuadorVotaLasso #yavotéporelcambio https://t.co/ZgQmqSobse"
CREO,"Vota por la capacidad, vota por el cambio   #EcuadorVotaLasso #yavotéporelcambio https://t.co/2n1WUm5ItA"
CREO,Vamos por el cambio a Votar por CREO 21  #EcuadorVotaLasso #yavotéporelcambio https://t.co/AAJ5NuME4l
CREO,¡MAÑANA LLEGA EL CAMBIO Y ES IMPARABLE! 💪🏼🔄🇪🇨  Vota por tu futuro y el de tu familia.  #EcuadorConLasso  #YoVotoPorElCambio  #ElCambioEsLa21 https://t.co/pfUpfVmNCT
CREO,¡El equipo que representa a todos los ecuatorianos!   La dupla del cambio: CREO 21 y Guillermo Lasso. Gana el partido el domingo 7 de febrero. #la21enel21 https://t.co/ADygV6HtCo
CREO,Tu voto es por un mejor futuro  #La21enel21  #CapapacidadParaCambiar https://t.co/1b83ZjLNxu
CREO,#ElCambioEstáEnTusManos https://t.co/hcmklaH92Z
CREO,🎙 Lunes 1 de febrero en vivo  Entrevista a @LassoGuillermo en @CNNEE   🕙 22h00 https://t.co/f5ngwTuKbB
CREO,"Estamos comprometidos a luchar para que el pueblo ecuatoriano reciba agua potable, pues es un derecho humano indispensable para vivir dignamente.  #CreandoElCAMBIO #ElAñoDeLa21 https://t.co/ozgZ6zP1m7"
CREO,Se acaba la corrupción. El Gobierno del Cambio trabajará para eliminar la corrupción.  #CreandoElCAMBIO #ElAñoDeLa21 https://t.co/qeZh2J2bvF
CREO,Vamos a transformar el Sistema de Salud para que cada uno de los ecuatorianos tenga un servicio de calidad. #CreandoElCAMBIO #ElAñoDeLa21 https://t.co/Tf9R38pgAm
CREO,Fortaleceremos todas las instituciones llamadas a proteger la seguridad y la integridad de cada uno de los ecuatorianos. ¡Mas seguridad en el país! #CreandoElCAMBIO #ElAñoDeLa21 https://t.co/QGyKRpnAX4
CREO,"El gobierno del Cambio se comprometerá a ayudarte para que puedas dejarles un mejor futuro a tus hijos. Con más y mejores empleos, la economía de las familias se verá beneficiada. #CreandoElCAMBIO #ElAñoDeLa21 https://t.co/4AA0FIhOij"
CREO,Los emprendedores son el motor de la economía del Ecuador. Por lo que necesitan contar con el apoyo del Estado para hacer realidad cada uno de sus objetivos. #la21enel21 #CreandoElCAMBIO #ElAñoDeLa21 https://t.co/C89YkFeXy0
CREO,Las y los jóvenes necesitan empleo. Con el Gobierno del Cambio se impulsarán más oportunidades de empleo. #CreandoElCAMBIO #ElAñoDeLa21 https://t.co/OnWpZ2k7bN
CREO,Vota por un cambio que permita la creación de empleos para todas y todos los ecuatorianos. #CreandoElCAMBIO #ElAñoDeLa21 https://t.co/0mMjKg5fYI
CREO,"Este 7 de febrero, con tu voto creas el cambio que necesita Ecuador.   #CreandoElCAMBIO  #ElAñoDeLa21 https://t.co/gn0q89ZLeZ"
CREO,Nuestro gobierno planea una nueva forma de trabajar para crear soluciones para las personas que más lo necesitan   #CreandoElCambio #ElAñoDeLa21 https://t.co/eA3VDzrVt2
CREO,"El gobierno del Cambio se comprometerá a ayudarte para que puedas dejarles un mejor futuro a tus hijos. Con más y mejores empleos, la economía de las familias se verá beneficiada.   #CreandoElCambio  #ElAñoDeLa21 https://t.co/uC7LZmQ7yA"
CREO,"El cambio que merecemos viene este 7 de febrero.   Vota por la capacidad para cambiar, vota por la 21   #LassoPresidente2021 #CapacidadParaCambiar #La21enel21 https://t.co/T8vyL8Hey9"
CREO,"Al votar por el cambio, estás votando por más y mejores empleos.  En tu voto está la capacidad para cambiar el país. Para poder dar paso a las oportunidades de empleo y de desarrollo. #ElCambioEstáEnTusManos https://t.co/mvs70nIaTs"
CREO,"Generando empleo para todos los ecuatorianos, se ayudará a las familias a tener una mejor calidad de vida. Empleo, empleo y más empleo es la solución.   #LaBarraDelEMPLEO  #LassoPresidente2021 https://t.co/BWrzOKkjrD"
CREO,"En todo el país, los ecuatorianos se unen por el EMPLEO y, con alegría y entusiasmo, gritan por el CAMBIO  #LaBarraDelEmpleo https://t.co/iqchKVBl4f"
CREO,"¡Todo el Ecuador baila porque el CAMBIO viene! #la21enel21 sabe como lograrlo.   Únete a esta fiesta participando con tu video, súbelo a tus redes con el hashtag #ElBaileDeLa21 #jerusalemadancechallenge #Jerusalema   @LassoGuillermo @ABorreroVega https://t.co/HbXODlU79R"
CREO,".@TransitoGuacho candidata al Parlamento Andino, nos hace un llamado a votar por las listas de la #21  #CapacidadParaCambiar  #la21enel21 https://t.co/OaY5JwtLgO"
CREO,"El tiempo lo sabe, es momento de la 21   #FuerzaCREO #la21conelcambio https://t.co/qUKZwFhx6H"
CREO,"Ecuatorianos, este 7 de febrero votemos por el cambio, votemos por la 21   #FuerzaCREO #La21conelCambio https://t.co/5NLcA9knEC"
CREO,¡Este año es de la 21!  #FuerzaCREO #La21conelCambio https://t.co/HW4wFRvtEZ
CREO,Una mejor economía con más inversión sin riesgo   #FuerzaCREO #La21conelCambio https://t.co/fD5C58RDGs
CREO,En el #GobiernoDelCambio vamos a impulsar al agro otorgando créditos al 1% de interés y a 30 años plazo. #FuerzaCREO #La21conelCambio https://t.co/3veUcZIO44
CREO,Garantizando un sistema de salud gratuito y de calidad para todas las familias. #FuerzaCREO #La21conelCAMBIO https://t.co/hS36tZyurE
CREO,"La seguridad de nuestras familas es importante, por eso en el gobierno del cambio habrá mayor seguridad #La21conelCAMBIO #FUERZACREO https://t.co/fIKAuHASEV"
CREO,Queremos un Ecuador seguro y lleno de oportunidades para todos #La21conelCAMBIO #FUERZACREO https://t.co/L5G70KINWk
CREO,Ecuador necesita nuestro país para reactivar la economía es generar empleo #La21conelCAMBIO #FUERZACREO https://t.co/KLrp45EOrK
CREO,El cambio que esperamos viene este 2021  La 21 trae el cambio para todo el Ecuador   #La21conelCAMBIO #FUERZACREO https://t.co/YlRRwlFHwb
CREO,"Basta de despilfarro y corrupción, eliminando estos dos grandes males tendremos más ingresos y haremos un mejor país.  #FuerzaCREO #La21conelCAMBIO https://t.co/gU6TUWE4f7"
CREO,Este 7 de febrero votaremos por la 21 el gobierno del cambio.   #FuerzaCREO #La21conelCAMBIO https://t.co/67PppnBxUl
CREO,Este año 2021 todo 21 la 21 en el 21  #FuerzaCREO #La21ConelCAMBIO https://t.co/yyDZie32Ux
CREO,Crearemos oportunidades para los Jóvenes  #FuerzaCREO #La21conelCambio https://t.co/yebyyuQwa2
CREO,Crearemos 2 millones de empleos que los ecuatorianos necesitan  #FuerzaCREO #La21conelCambio https://t.co/DBL2DJUYLM
CREO,En el 2021 crearemos mejores condiciones para nuestro país   #FuerzaCREO #La21conelCambio https://t.co/1kZ8Ilcl7e
CREO,Todo el país unido y una sola palabra #la21enel21 Este 7 de febrero todos por el cambio que merece el Ecuador   #FuerzaCREO #La21conelCambio https://t.co/ANqTdEZCai
CREO,Todo el #Ecuador vota por la 21   #la21enel21   #FuerzaCREO #La21conelCambio https://t.co/GX41PGVF0O
CREO,"Ecuador necesita un cambio, junto con ustedes lo lograremos. La 21 en el 21 hoy 21 #capacidadparacambiar #lassopresidente2021   #FuerzaCREO #La21conelCambio https://t.co/xYpWHq9GbE"
CREO,¡NO VAMOS A REDUCIR LOS SUELDOS!   #CapacidadParaCambiar  #LassoPresidente2021 https://t.co/WqObEFYsBG
CREO,9 años CREANDO OPORTUNIDADES y trabajando para conseguir el cambio que el Ecuador necesita   ¡Feliz aniversario #CREO21! 🥳 https://t.co/JIV3VPKKid
CREO,"Este 7 de febrero, vota por más empleo, por mejores oportunidades de emprendimiento, por una salud de calidad y para que nuestro país logre resurgir con más fuerza.  #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/6IY5RiIqjA"
CREO,"En las elecciones del 7 de febrero, juntos lograremos desterrar ese gobierno que fracasó y únicamente empobreció a las y los ecuatorianos. #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción"
CREO,Juntos lucharemos contra la corrupción y así garantizar la seguridad de cada uno de los ecuatorianos. #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/wsBeO28dTf
CREO,Es momento de un cambio en Ecuador. Ha llegado la hora de mostrar ese espíritu de lucha que nos hace diferentes para un Ecuador más competitivo. https://t.co/YCaZJsPLSe
CREO,"Te invito a votar por la esperanza, la certeza, la capacidad y experiencia para lograr un cambio en el Ecuador. #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/cgImsFwxIv"
CREO,2O eliges la alternativa del cambio para lograr una educación y salud de calidad y garantizar la seguridad de todos los ciudadanos. #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/qz2UJATX4Q
CREO,"Queridos ciudadanos, en estas votaciones, ¿qué es lo que elegirán?   1- El totalitarismo, el abuso, la desdolarización, creencias ridículas sobre extraer el oro de los celulares o no exportar nada al mundo."
CREO,El próximo 7 de febrero es un día muy importante para el futuro del Ecuador.    #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/ExNJo9bIvC
CREO,"Ecuador puede competir con mayor firmeza y seguridad en los mercados internacionales, para seguir impulsando negocios y atrayendo inversiones de otros países. #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/cxHOK53m8a"
CREO,"Estamos comprometidos en fortalecer la educación, el empleo y los sistemas de salud para garantizar el cumplimiento de los derechos humanos de la gente. #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/OZrjT6QP53"
CREO,Fomentaremos relaciones comerciales con el mayor número de países posibles. Mayor inversión es más empleos. #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/U0XVcCRixY
CREO,Se necesita de una política de Estado que permita el libre comercio con el mayor número posible de países. #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/YBr2WZkKQa
CREO,Se mejorará el acceso al mercado a través de acuerdos de comercio e inversión. #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/ObYY624g7a
CREO,Generando más empleos es una manera de garantizar el cumplimiento de los derechos humanos de todas las personas. #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/TofEuVCze0
CREO,Más Ecuador en el mundo y más mundo en el Ecuador. #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/ZWNgKL30QB
CREO,Atraer la inversión permitirá mayor competencia y un ambiente más libre en nuestro país.  #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/Sdl3tXBKDv
CREO,#PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/GOBEe989hF
CREO,#PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/nEFiaKHQpj
CREO,"Fortaleceremos instituciones como la justicia sin meter mano, con todo el presupuesto que se requiera.  #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción"
CREO,Vamos a crear la Comisión internacional de lucha contra la corrupción con el apoyo de la ONU y de la OEA con dos objetivos: seguir la ruta del dinero y meter preso a los corruptos.  #PropuestasDeLasso  #LassoEsElCambio  #CapacidadParaCambiar  #LassoPresidente2021
CREO,No deben de existir más partidos que en épocas que les son convenientes se renten y obtengan beneficios de la ciudadanía.  #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción
CREO,#PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/sxExCHoifw
CREO,Debemos de propender a una democracia robusta con partidos políticos que verdaderamente defiendan ideas e ideologías.   #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción
CREO,"Debemos de llevar a cabo una reforma al código de la democracia, sobre todo para eliminar aquellos partidos que están en venta o están de alquiler eso es inaceptable y da lugar a la corrupción en época electoral.  #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción"
CREO,"El tema de la corrupción ha sido sin duda alguna, un tema preocupante para el país desde hace varios años. Es por eso que llevaremos a cabo una reforma eficiente que logre terminar desde raíz esta grave problemática.   #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción"
CREO,"La corrupción es un obstáculo para el desarrollo, además de un problema ético que afecta notablemente el desarrollo del Ecuador.   #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/rxFl1wMehk"
CREO,"La corrupción es un obstáculo para el desarrollo, además de un problema ético que afecta notablemente el desarrollo del Ecuador.   #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/U94Ez7K25D"
CREO,"A lo largo de la historia, la corrupción ha debilitado los esfuerzos para combatir la pobreza y la desigualdad, además de alejar inversiones productivas que pueden beneficiar al país.  #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/Z5K25vzLkK"
CREO,"Debemos apoyar a la fiscalía para que no dependa de la voluntad del ministro de gobierno o de la policía, y así luchar transparentemente contra la corrupción.  #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/KG3nd7QX2B"
CREO,"Fortaleceremos las instituciones, con todo el presupuesto y el apoyo que requieran para así modernizar la justicia en el Ecuador.  #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/1WUMGFQBfM"
CREO,Debemos propender a una democracia robusta que defienda al pueblo y erradique la corrupción. Pues la seguridad es un tema que compete a todos.   #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/wATDU71RT0
CREO,"No más metida de mano de la justicia.  Los ecuatorianos sabrán dónde se gasta su dinero, el Gobierno del Cambio será un gobierno transparente.  #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción"
CREO,Para construir un país de instituciones debe prevalecer el cumplimiento de reglas y acuerdos. Debe prevalecer la institucionalidad.   #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción
CREO,No más tratos preferenciales en los procesos y trámites de la administración pública.  Se realizarán procesos transparentes de contratación.   #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción
CREO,Vamos a recuperar el dinero robado.  #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción https://t.co/5U44ETl3nB
CREO,"El dinero del Ecuador pertenece a todos los ecuatorianos, basta de robos. https://t.co/9EyrPX8cnC"
CREO,Los jóvenes deben de ser libres para elegir qué carrera quieren estudiar. Con el Gobierno del Cambio esto será posible.  #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción
CREO,Se necesita llevar a cabo reformas en el campo educativo para que los niños y jóvenes puedan exponer y desarrollar libremente sus pensamientos.  #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción
CREO,Con créditos a los agricultores se fomentará el empleo y se ayudará al crecimiento del campo. Créditos al 1% de interés con plazos a 30 años.   #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción
CREO,Se reducirán algunos impuestos para poder incentivar el crecimiento de la economía.   #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción
CREO,Necesitamos seguridad en las calles. Tener la garantía de salir sin algún temor.   #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción
CREO,"Se promoverá el empleo que cubra las necesidades específicas, principalmente de las mujeres y de los jóvenes.   #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción"
CREO,Con inversión nacional y extranjera se podrán crear los empleos que necesitamos.  #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción
CREO,"Las malas administraciones se han visto favorecidas, sin pensar en el pueblo. El Gobierno del Cambio busca el bien de todo el país.   #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción"
CREO,Necesitamos a alguien con la experiencia y la capacidad de sacar adelante al Ecuador. Guillermo Lasso es la persona correcta para hacerlo.  #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción
CREO,#DebatePresidencial2021   El Gobierno de Guillermo Lasso creará 2 millones de empleos. Se recuperan empleos perdidos y se crearán nuevos empleos   #PropuestasDeLasso  #LassoEsElCambio #LassoEsLaOpción
CREO,Este 7 de febrero estaremos en sus manos y en las manos de Dios. Juntos combatiremos el desempleo y erradicaremos la pobreza.  #LassoPresidente2021 #PropuestasDeLasso #ConLassoHayEMPLEO
CREO,Nosotros facilitaremos la inversión y generaremos una estabilidad económica en las familias ecuatorianas.  #LassoPresidente2021 #PropuestasDeLasso #ConLassoHayEMPLEO
CREO,Estamos comprometidos a ofrecer alimentación a todas aquellas familias en estado de vulnerabilidad.   #LassoPresidente2021 #PropuestasDeLasso #ConLassoHayEMPLEO
CREO,Reconocemos la importancia de una adecuada alimentación para mantener una mejor calidad de vida.   #LassoPresidente2021 #PropuestasDeLasso #ConLassoHayEMPLEO
CREO,Implementaremos un plan efectivo que dé de comer a esas más de 300 mil familias ecuatorianas que no tienen los recursos necesarios para alimentar a su familia.
CREO,Suministraremos de alimentos básicos a aquellos que no tendrán los ingresos diarios para poderlos conseguirlos.    #LassoPresidente2021 #PropuestasDeLasso #ConLassoHayEMPLEO
CREO,"Más de 1 millón de ecuatorianos viven en extrema pobreza. Estos grupos vulnerables, serán tomados en cuenta en nuestro gobierno para que dejen de pasar hambre y tengan una mejor calidad de vida.   #LassoPresidente2021 #PropuestasDeLasso #ConLassoHayEMPLEO"
CREO,"La alianza CREO 21, beneficiará a la educación del pueblo ecuatoriano.  #LassoPresidente2021 #PropuestasDeLasso #ConLassoHayEMPLEO"
CREO,"En esta elección está en juego el destino de Ecuador. Con tu ayuda, lograremos llegar a un momento histórico  #PropuestasDeLasso #ConLassoHayEmpleo #ConLassoHayPAN"
CREO,"Estamos listos para votar por la capacidad, las oportunidades y la experiencia. Estamos listos para votar por Guillermo Lasso.   #PropuestasDeLasso #ConLassoHayEmpleo #ConLassoHayPAN"
CREO,"Queremos un país justo, con oportunidades para todos. Lo podemos conseguir con Guillermo Lasso.  #PropuestasDeLasso #ConLassoHayEmpleo #ConLassoHayPAN"
CREO,El pueblo ecuatoriano necesita soluciones para un cambio verdadero. Nosotros tenemos esas soluciones.   #PropuestasDeLasso #ConLassoHayEmpleo #ConLassoHayPAN
CREO,El Plan PAN busca ayudar a las personas que más lo necesitan. Llevar agua potable y alimento a la población en pobreza extrema.  #PropuestasDeLasso #ConLassoHayEMPLEO #ConLassoHayPAN https://t.co/xWLrapmACK
