A–o;periodo;LCC;ACC;peso;Huevos;playa;distancia;profNido;crias_Emerg;crias_Muertas;hrotos;cangrejos
2002;1;74,8;77,2;51,5;70;Ponta Cosme;30,6;52,6;24;0;46;1
2002;1;81,4;73,6;59,3;86;Calheta;22,4;35,4;65;3;18;0
2002;3;87,9;76,1;65,7;109;Ponta Cosme;24,1;43,3;0;2;107;1
2003;2;73,8;68,7;58,6;95;Porto Ferreiro;31,1;57,5;58;0;37;0
2004;1;75,9;72,9;55,2;83;Calheta;18,9;36,2;77;1;5;1
2004;3;82,9;75,9;50,1;85;Ponta Cosme;30,1;40,7;2;0;83;1
2003;2;82,2;77,5;61,6;88;Calheta;18,8;32,2;;;;
2000;4;96,2;87,9;72,7;103;Ervatao;34,3;60,5;26;0;77;1
2004;5;86;82,9;62,8;84;Ponta Cosme;22;38,8;0;1;83;1
2002;1;78,2;71;59,1;81;Ervatao;22,5;55,3;;;;
2004;5;95,1;88,5;70,1;84;Ponta Cosme;13,9;47;1;1;82;1
1999;1;89,3;81,6;68;108;Ponta Cosme;20,3;37,8;30;6;72;1
2002;4;86,5;80,5;65,2;86;Ervatao;34,3;61,1;0;0;86;1
2002;5;77,8;79,9;51,8;75;Porto Ferreiro;11;30;59;0;16;0
1999;3;82,6;76,8;58,9;100;Ponta Cosme;26,6;38,1;97;0;3;0
2000;5;80;74,1;63,6;76;Porto Ferreiro;19,2;38,2;0;0;76;1
1999;1;87,3;85,5;66,5;127;Ervatao;28,8;60,2;;;;
2001;2;78,4;70,6;61,1;92;Calheta;11,3;35,3;0;4;88;1
2001;5;83,9;79,9;64,6;72;Ervatao;23,5;63,6;;;;
2000;1;87,3;83,4;56,9;98;Porto Ferreiro;17,4;36,8;;;;
2004;1;82,9;76,9;57,5;88;Calheta;24,7;33,4;0;0;88;1
2001;4;82,6;75,9;56,2;73;Ponta Cosme;27,4;45,5;31;0;42;1
2002;5;74,9;71,6;61,5;71;Ervatao;22,5;58,5;;;;
1999;5;85;78,1;60;85;Calheta;19,3;37,6;65;3;17;0
2002;2;81,7;75,7;61;85;Ervatao;19;62,3;;;;
2002;2;81,9;73,9;63,1;95;Porto Ferreiro;14,5;34,6;42;2;51;1
2004;3;75,7;69,8;57,3;69;Porto Ferreiro;18,5;46,1;;;;
2003;2;79,4;77,3;62,8;80;Ervatao;21,9;54,7;;;;
2004;2;80,2;73,8;60,7;74;Ervatao;35,1;70,5;70;1;3;0
2003;5;85,2;82,8;60,3;78;Calheta;17,5;28,8;35;0;43;1
2001;2;77,4;79,6;54,4;84;Ervatao;20,9;66,3;14;1;69;1
2000;5;76,1;69,7;59,5;50;Ponta Cosme;27;37;47;0;3;0
2001;5;73,5;68,7;58;58;Porto Ferreiro;19,9;47,3;47;0;11;0
2003;5;80,2;78,3;54,3;85;Ervatao;32,4;63,3;0;0;85;1
2004;4;82,9;77,9;57,4;83;Ponta Cosme;24;47,6;0;0;83;1
2003;3;76,3;73,7;55,1;80;Ervatao;40;61,5;47;0;33;0
2001;5;82,6;79;63;65;Porto Ferreiro;12,2;41;;;;
2001;5;84,1;82,5;63,4;84;Ponta Cosme;21,8;38,5;;;;
2004;3;81,6;74,9;60,5;88;Calheta;16,5;36;3;0;85;1
2001;3;83,5;77,4;66,2;81;Ponta Cosme;26;47,8;0;0;81;1
2004;2;71,4;66,2;55,5;74;Ponta Cosme;23,5;45,1;0;0;74;1
2004;4;83,4;80,1;64;67;Ponta Cosme;39,6;52,5;4;3;60;1
2004;5;80,2;71,1;56,4;72;Ponta Cosme;36,7;45,9;70;0;2;0
2001;5;81,3;74,2;65,3;68;Porto Ferreiro;35,9;48,3;;;;
2003;1;84,6;79,5;59,1;103;Ponta Cosme;38,1;46,7;14;0;89;1
2000;4;90;82,7;66,2;80;Ervatao;22,6;55,1;24;1;55;1
2002;4;84,7;80,6;60,2;102;Ponta Cosme;18,2;43,5;;;;
2004;2;83;77,4;62,3;93;Ponta Cosme;34,5;57,5;0;1;92;1
2002;2;78,4;73,5;58,1;97;Ponta Cosme;28,3;50,5;;;;
2002;3;94,9;88;64,4;105;Ponta Cosme;25,2;44,5;0;0;105;1
2000;4;84,8;75,6;71,4;79;Ervatao;28,7;49,3;4;1;74;1
2004;5;85,1;75,3;65;88;Ponta Cosme;18,9;40,4;;;;
2004;4;83,2;78,4;56,8;66;Ervatao;35,3;56,5;48;0;18;1
2000;4;78,8;75,9;64,1;79;Ervatao;26,4;58,3;;;;
1999;2;75,6;70,9;57,4;81;Ervatao;16,5;54,8;14;0;67;1
2002;4;72,6;71,1;52,5;67;Ervatao;25,4;61,2;43;8;16;0
2004;1;84,3;77,1;67,4;80;Ponta Cosme;23;45,1;29;0;51;1
2004;2;82,5;76,9;61,1;80;Ponta Cosme;23;36,8;0;5;75;1
2004;3;74,4;67,2;60,7;62;Ervatao;38,1;65,9;61;0;1;0
2001;5;84;72,2;62,1;80;Porto Ferreiro;21,1;43;15;1;64;1
1999;3;82,3;79,1;53,4;108;Ervatao;24,4;63,4;23;0;85;1
1999;3;78,3;73,1;52,4;77;Ervatao;24;59,8;72;0;5;1
2000;1;99,6;90,9;72,2;95;Porto Ferreiro;16,3;42,8;;;;
1999;1;82;76,3;54,4;99;Ervatao;35;59,5;30;6;63;1
2003;5;80,5;74,3;69,5;80;Ponta Cosme;16,3;34,4;;;;
2001;1;80,2;75;54,4;73;Ponta Cosme;17,7;35,2;9;0;64;1
2002;4;84,7;77,7;50;82;Ponta Cosme;41,3;52,3;18;0;64;1
2002;4;83,5;78,7;63,3;65;Porto Ferreiro;24,9;40,9;;;;
2001;3;82,9;77,5;60,4;78;Calheta;12,7;28,9;;;;
1999;2;83,5;75,7;63,4;106;Ervatao;11,2;46,3;90;3;13;0
2001;1;82,7;77,2;60,4;80;Porto Ferreiro;29,7;38,2;;;;
2004;5;90,8;86,3;71,3;79;Ponta Cosme;17,9;38,6;0;0;79;1
2004;2;77,5;75,1;55,2;78;Calheta;20,6;35,8;33;0;45;1
2002;5;78,9;74,5;62,8;75;Ponta Cosme;22,7;50,5;24;0;51;1
2004;2;79;76,6;57;76;Ervatao;16,7;59,7;69;0;7;0
2001;1;89,3;83,1;70,4;106;Ponta Cosme;35,1;44,6;0;0;106;1
2002;2;89,5;79,7;63;91;Ervatao;25,7;61,9;57;2;32;0
2004;1;70,6;69,7;53,2;64;Ervatao;32,5;60,6;;;;
2001;2;82,6;73,6;53,5;78;Ervatao;36;62,8;6;0;72;0
